NUM_IFU,ID_CONTR,NOM_MINEFID,DATE_IMMAT,ETAT,CODE_REG_FISC,CODE_SECT_ACT,TEL,Tel_Clean,ANNEE,IMPORT_CAF,IMPORT_FOB,IMPORT_TVA,EXPORT_CAF,EXPORT_FOB,EXPORT_TVA,EXPORT_Nombre_TITRE,IMPORT_Nombre_TITRE,Num_IFU_Contribuable.x,INDICATEUR_1,INDICATEUR_2,INDICATEUR_3,TELEPHONE,Groupe_IFU,Occurrences_IFU
00000001E,,,,,,,,,2019,,,,,,,,,00000001E,885.788264731019,525.1479875343722,A,,,
00000001E,1.0,Entreprise 1,2020-01-01,ACTIF,CME,C03,22913901250,22913901250,2023,9233.74425205714,8052.4960767295,1817.7165513865268,0.0,0.0,0.0,0.0,1.0,,,,,,,
00000002E,,,,,,,,,2019,,,,,,,,,00000002E,1437.961676189795,358.9824962592448,B,,,
00000002E,2.0,Entreprise 2,2020-01-02,ACTIF,RSI,C03,22937417566,22937417566,2023,0.0,0.0,0.0,11070.79552787077,8509.555474775118,1733.2323680539896,1.0,0.0,,,,,,,
00000003E,,,,,,,,,2021,,,,,,,,,00000003E,381.256171831734,563.9764471139628,B,,,
00000003E,3.0,Entreprise 3,2020-01-03,ACTIF,RSI,A01,22995470366,22995470366,2023,9411.630592299269,7649.176587934611,1607.7919427872137,0.0,0.0,0.0,0.0,1.0,,,,,,,
00000004E,,,,,,,,,2022,,,,,,,,,00000004E,591.5440632596183,342.4155347410789,C,,,
00000004E,4.0,Entreprise 4,2020-01-04,ACTIF,RSI,B02,22990518262,22990518262,2023,0.0,0.0,0.0,10857.74470470521,9075.978417130607,1729.7729606870882,1.0,0.0,,,,,,,
00000005E,,,,,,,,,2019,,,,,,,,,00000005E,462.3556249543349,385.6903862185269,B,,,
00000005E,5.0,Entreprise 5,2020-01-05,ACTIF,RSI,B02,22925352321,22925352321,2023,9610.696852637566,7956.728472037387,1954.7696186332707,0.0,0.0,0.0,0.0,1.0,,,,,,,
00000006E,,,,,,,,,2020,,,,,,,,,00000006E,1406.831199625772,398.0709770165845,C,,,
00000006E,6.0,Entreprise 6,2020-01-06,ACTIF,RN,C03,22998031690,22998031690,2023,0.0,0.0,0.0,9935.424897324488,9066.819241519255,1923.5332443862349,1.0,0.0,,,,,,,
00000007E,,,,,,,,,2021,,,,,,,,,00000007E,1071.964789368946,440.4137320456971,A,,,
00000007E,7.0,Entreprise 7,2020-01-07,ACTIF,CME,A01,22957218699,22957218699,2023,9576.018136771481,7169.804203354559,2040.3026338827674,0.0,0.0,0.0,0.0,1.0,,,,,,,
00000008E,,,,,,,,,2022,,,,,,,,,00000008E,1080.275238646134,456.325729305477,B,,,
00000008E,8.0,Entreprise 8,2020-01-08,ACTIF,RSI,A01,22924178977,22924178977,2023,0.0,0.0,0.0,9764.201603038982,7905.460765405421,1879.5470524838713,1.0,0.0,,,,,,,
00000009E,,,,,,,,,2020,,,,,,,,,00000009E,659.3581033460011,357.2419184087569,A,,,
00000009E,9.0,Entreprise 9,2020-01-09,ACTIF,RN,A01,22921059420,22921059420,2023,8125.116735134103,6596.060283414637,1640.1132248210215,0.0,0.0,0.0,0.0,1.0,,,,,,,
