NUM_IFU,ID_CONTR,NOM_MINEFID,DATE_IMMAT,ETAT,CODE_REG_FISC,CODE_SECT_ACT,TEL,Tel_Clean,ANNEE,IMPORT_CAF,IMPORT_FOB,IMPORT_TVA,EXPORT_CAF,EXPORT_FOB,EXPORT_TVA,EXPORT_Nombre_TITRE,IMPORT_Nombre_TITRE,Num_IFU_Contribuable.x,INDICATEUR_1,INDICATEUR_2,INDICATEUR_3,TELEPHONE,Groupe_IFU,Occurrences_IFU,duree_en_mois,RISQUE_IND_1,GAP_IND_1,SCORE_IND_1,RISQUE_IND_2,GAP_IND_2,SCORE_IND_2,RISQUE_IND_3,RISQUE_IND_4,GAP_IND_4,SCORE_IND_4,RISQUE_IND_5,GAP_IND_5,SCORE_IND_5,RISQUE_IND_6,GAP_IND_6,SCORE_IND_6,RISQUE_IND_7_A,RISQUE_IND_7_B,RISQUE_IND_8,GAP_IND_8,SCORE_IND_8,RISQUE_IND_9,RISQUE_IND_10,GAP_IND_10,SCORE_IND_10,RISQUE_IND_12,GAP_IND_12,SCORE_IND_12,RISQUE_IND_13,GAP_IND_13,SCORE_IND_13,RISQUE_IND_15_A,RISQUE_IND_15_B
00000001E,,,,,,,,,2019,,,,,,,,,00000001E,885.788264731019,525.1479875343722,A,,,,,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible,Non disponible,0.0,0.0,Non disponible,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible
00000001E,1.0,Entreprise 1,2020-01-01,ACTIF,CME,C03,22913901250.0,22913901250.0,2023,9233.74425205714,8052.4960767295,1817.7165513865268,0.0,0.0,0.0,0.0,1.0,,,,,,,,66.16294349540078,Non disponible,0.0,0.0,Non disponible,0.0,0.0,vert,vert,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,vert,vert,Non disponible,0.0,0.0,Non disponible,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible
00000002E,,,,,,,,,2019,,,,,,,,,00000002E,1437.961676189795,358.9824962592448,B,,,,,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible,Non disponible,0.0,0.0,Non disponible,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible
00000002E,2.0,Entreprise 2,2020-01-02,ACTIF,RSI,C03,22937417566.0,22937417566.0,2023,0.0,0.0,0.0,11070.79552787077,8509.555474775118,1733.2323680539896,1.0,0.0,,,,,,,,66.13009198423127,Non disponible,0.0,0.0,Non disponible,0.0,0.0,vert,vert,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,vert,vert,Non disponible,0.0,0.0,Non disponible,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible
00000003E,,,,,,,,,2021,,,,,,,,,00000003E,381.256171831734,563.9764471139628,B,,,,,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible,Non disponible,0.0,0.0,Non disponible,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible
00000003E,3.0,Entreprise 3,2020-01-03,ACTIF,RSI,A01,22995470366.0,22995470366.0,2023,9411.630592299269,7649.176587934611,1607.7919427872137,0.0,0.0,0.0,0.0,1.0,,,,,,,,66.09724047306176,Non disponible,0.0,0.0,Non disponible,0.0,0.0,vert,vert,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,vert,vert,Non disponible,0.0,0.0,Non disponible,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible
00000004E,,,,,,,,,2022,,,,,,,,,00000004E,591.5440632596183,342.4155347410789,C,,,,,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible,Non disponible,0.0,0.0,Non disponible,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible
00000004E,4.0,Entreprise 4,2020-01-04,ACTIF,RSI,B02,22990518262.0,22990518262.0,2023,0.0,0.0,0.0,10857.74470470521,9075.978417130607,1729.7729606870882,1.0,0.0,,,,,,,,66.06438896189225,Non disponible,0.0,0.0,Non disponible,0.0,0.0,vert,vert,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,vert,vert,Non disponible,0.0,0.0,Non disponible,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible
00000005E,,,,,,,,,2019,,,,,,,,,00000005E,462.3556249543349,385.6903862185269,B,,,,,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible,Non disponible,0.0,0.0,Non disponible,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible
00000005E,5.0,Entreprise 5,2020-01-05,ACTIF,RSI,B02,22925352321.0,22925352321.0,2023,9610.696852637566,7956.728472037387,1954.7696186332707,0.0,0.0,0.0,0.0,1.0,,,,,,,,66.03153745072274,Non disponible,0.0,0.0,Non disponible,0.0,0.0,vert,vert,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,vert,vert,Non disponible,0.0,0.0,Non disponible,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,0.0,0.0,Non disponible,Non disponible
